,game_name,platform,year_of_release,genre,na_sales,eu_sales,ru_sales,other_sales,critic_score,user_score,rating_type,total_sales,descryption
1263,mlb 2006,ps2,2005,sports,0.33,0.01,0.0,0.05,81.0,9.0,e,0.39,для всех
1264,brunswick pro bowling,ps2,2007,sports,0.2,0.15,0.0,0.05,-1.0,-1.0,e,0.39999999999999997,для всех
1265,mx vs. atv unleashed,xb,2005,racing,0.32,0.07,0.0,0.01,80.0,8.3,e,0.4,для всех
1266,fifa soccer 13,pc,2012,action,0.02,0.31,0.0,0.07,86.0,6.6,e,0.4,для всех
1267,style lab: makeover,ds,2009,simulation,0.34,0.03,0.0,0.03,-1.0,-1.0,e,0.4,для всех
1268,nicktoons: freeze frame frenzy,gba,2004,action,0.29,0.11,0.0,0.01,53.0,-1.0,e,0.41,для всех
1269,monster trucks mayhem,wii,2009,racing,0.38,0.0,0.0,0.02,-1.0,-1.0,e,0.4,для всех
1270,rapala pro bass fishing 2010,x360,2010,sports,0.32,0.05,0.0,0.03,-1.0,-1.0,e,0.4,для всех
1271,pro evolution soccer 2016,ps3,2015,sports,0.09,0.12,0.15,0.04,-1.0,7.2,e,0.39999999999999997,для всех
1272,nba live 2002,xb,2001,sports,0.35,0.03,0.0,0.02,76.0,7.5,e,0.4,для всех
1273,winter sports 2: the next challenge,wii,2008,sports,0.17,0.18,0.0,0.04,-1.0,-1.0,e,0.38999999999999996,для всех
1274,moshi monsters: moshlings theme park,ds,2012,misc,0.03,0.33,0.0,0.04,-1.0,-1.0,e,0.39999999999999997,для всех
1275,ghostbusters: the video game,ds,2009,action,0.24,0.12,0.0,0.04,55.0,6.0,e,0.39999999999999997,для всех
1276,harvest moon: save the homeland,ps2,2077,simulation,0.19,0.15,0.0,0.05,76.0,8.8,e,0.38999999999999996,для всех
1277,suzuki tt superbikes,ps2,2005,racing,0.33,0.01,0.0,0.05,71.0,8.5,e,0.39,для всех
1278,sherlock holmes: the mystery of the mummy,ds,2009,adventure,0.06,0.3,0.0,0.04,57.0,3.1,e,0.39999999999999997,для всех
1279,littlest pet shop,wii,2008,simulation,0.33,0.03,0.0,0.03,-1.0,-1.0,e,0.39,для всех
1280,nascar heat,ps,2000,racing,0.22,0.15,0.0,0.03,62.0,-1.0,e,0.4,для всех
1281,planet 51,ds,2009,action,0.22,0.14,0.0,0.04,-1.0,-1.0,e,0.39999999999999997,для всех
1282,fishing resort,wii,2011,sports,0.14,0.0,0.25,0.01,69.0,7.0,e,0.4,для всех
1283,disney's brother bear,gba,2003,action,0.28,0.1,0.0,0.01,-1.0,-1.0,e,0.39,для всех
1284,nba live 09,ps2,2008,sports,0.32,0.01,0.01,0.05,-1.0,7.4,e,0.39,для всех
1285,nba jam,ps3,2010,sports,0.22,0.12,0.0,0.06,71.0,5.7,e,0.39999999999999997,для всех
1286,nba jam,x360,2010,sports,0.27,0.09,0.0,0.03,75.0,7.0,e,0.39,для всех
1287,nba live 09,psp,2008,sports,0.23,0.07,0.03,0.06,-1.0,7.3,e,0.39000000000000007,для всех
1288,ener-g: gym rockets,ds,2008,sports,0.36,0.0,0.0,0.03,-1.0,-1.0,e,0.39,для всех
1289,madden nfl football,3ds,2011,sports,0.36,0.01,0.0,0.03,49.0,5.3,e,0.4,для всех
1290,are you smarter than a 5th grader? make the grade,ds,2008,misc,0.36,0.0,0.0,0.03,-1.0,-1.0,e,0.39,для всех
1291,ssx 3,xb,2003,sports,0.29,0.08,0.0,0.01,92.0,8.7,e,0.38,для всех
1292,madden nfl 2005,gba,2004,sports,0.28,0.1,0.0,0.01,79.0,7.6,e,0.39,для всех
1293,monster jam: urban assault,ds,2008,racing,0.36,0.0,0.0,0.03,-1.0,-1.0,e,0.39,для всех
1294,monopoly streets,ps3,2010,misc,0.16,0.17,0.0,0.06,64.0,6.1,e,0.39,для всех
1295,disney princess: enchanting storybooks,wii,2011,misc,0.25,0.1,0.0,0.03,-1.0,-1.0,e,0.38,для всех
1296,chessmaster,ps2,2003,misc,0.19,0.15,0.0,0.05,79.0,7.3,e,0.38999999999999996,для всех
1297,advance wars: dual strike,ds,2005,strategy,0.3,0.02,0.04,0.03,90.0,9.0,e,0.39,для всех
1298,auto modellista,ps2,2002,racing,0.19,0.15,0.0,0.05,66.0,7.5,e,0.38999999999999996,для всех
1299,mlb 15: the show,ps3,2015,sports,0.31,0.01,0.0,0.07,-1.0,8.2,e,0.39,для всех
1300,tiger woods pga tour 08,ps2,2007,sports,0.19,0.15,0.0,0.05,65.0,-1.0,e,0.38999999999999996,для всех
1301,karaoke revolution presents american idol encore,ps2,2008,misc,0.19,0.15,0.0,0.05,76.0,-1.0,e,0.38999999999999996,для всех
1302,spongebob vs the big one: beach party cook off,ds,2009,adventure,0.24,0.11,0.0,0.04,-1.0,-1.0,e,0.38999999999999996,для всех
1303,ea sports active 2,x360,2010,sports,0.18,0.16,0.0,0.04,68.0,5.4,e,0.37999999999999995,для всех
1304,motogp 08,ps3,2008,racing,0.07,0.24,0.0,0.08,65.0,6.0,e,0.39,для всех
1305,harry potter: quidditch world cup,gba,2003,sports,0.28,0.1,0.0,0.01,53.0,8.3,e,0.39,для всех
1306,farming simulator 2013,x360,2013,simulation,0.22,0.13,0.0,0.04,33.0,6.2,e,0.38999999999999996,для всех
1307,espn college hoops 2k5,xb,2004,sports,0.29,0.08,0.0,0.01,86.0,8.3,e,0.38,для всех
1308,nfl gameday 2002,ps2,2001,sports,0.19,0.15,0.0,0.05,51.0,4.6,e,0.38999999999999996,для всех
1309,ncaa football 08,ps3,2007,sports,0.35,0.0,0.0,0.03,77.0,7.9,e,0.38,для всех
1310,ice age,gba,2002,action,0.27,0.1,0.0,0.01,47.0,-1.0,e,0.38,для всех
1311,fifa 14,wii,2013,sports,0.0,0.36,0.0,0.02,-1.0,4.3,e,0.38,для всех
1312,junior classic games,ds,2009,misc,0.26,0.09,0.0,0.03,-1.0,-1.0,e,0.38,для всех
1313,brunswick pro bowling,wii,2007,sports,0.35,0.01,0.0,0.03,52.0,5.4,e,0.39,для всех
1314,bratz: rock angelz,ps2,2005,misc,0.19,0.15,0.0,0.05,60.0,5.1,e,0.38999999999999996,для всех
1315,ssx 3,gc,2003,sports,0.29,0.08,0.0,0.01,92.0,8.7,e,0.38,для всех
1316,ncaa football 11,ps2,2010,sports,0.19,0.15,0.0,0.05,-1.0,-1.0,e,0.38999999999999996,для всех
1317,locoroco,psp,2006,platform,0.14,0.04,0.16,0.03,83.0,8.7,e,0.37,для всех
1318,fifa 17,x360,2016,sports,0.07,0.28,0.0,0.03,-1.0,1.7,e,0.38,для всех
1319,tamagotchi connection: corner shop 3,ds,2007,simulation,0.06,0.0,0.31,0.01,57.0,-1.0,e,0.38,для всех
1320,dora the explorer: dora saves the snow princess,ps2,2008,platform,0.19,0.15,0.0,0.05,-1.0,-1.0,e,0.38999999999999996,для всех
1321,mx vs. atv untamed,ps2,2007,racing,0.32,0.01,0.0,0.05,53.0,8.2,e,0.38,для всех
1322,get fit with mel b,ps3,2010,sports,0.15,0.16,0.0,0.07,73.0,5.8,e,0.38,для всех
1323,ice age: dawn of the dinosaurs,ds,2009,action,0.2,0.15,0.0,0.04,54.0,-1.0,e,0.38999999999999996,для всех
1324,pokemon channel,gc,2003,adventure,0.24,0.06,0.07,0.01,55.0,6.0,e,0.38,для всех
1325,virtua tennis 2009,ps3,2009,sports,0.09,0.22,0.0,0.06,70.0,6.3,e,0.37,для всех
1326,the dog island,wii,2007,adventure,0.34,0.01,0.0,0.03,70.0,8.1,e,0.38,для всех
1327,madagascar: escape 2 africa,ps2,2008,action,0.12,0.0,0.0,0.26,56.0,5.8,e,0.38,для всех
1328,tiger woods pga tour 08,psp,2007,sports,0.14,0.15,0.0,0.09,72.0,-1.0,e,0.38,для всех
1329,petz rescue: wildlife vet,ds,2008,simulation,0.35,0.0,0.0,0.03,-1.0,-1.0,e,0.38,для всех
1330,madden nfl 11,psp,2010,sports,0.35,0.0,0.0,0.03,-1.0,-1.0,e,0.38,для всех
1331,pro evolution soccer 2011 3d,3ds,2011,sports,0.11,0.13,0.11,0.02,73.0,6.7,e,0.37,для всех
1332,harry potter and the prisoner of azkaban,gc,2004,action,0.29,0.08,0.0,0.01,67.0,7.3,e,0.38,для всех
1333,puppy palace,ds,2008,simulation,0.35,0.0,0.0,0.03,-1.0,-1.0,e,0.38,для всех
1334,grid 2,ps3,2013,racing,0.07,0.22,0.01,0.08,82.0,6.6,e,0.38000000000000006,для всех
1335,petz rescue: ocean patrol,ds,2008,adventure,0.35,0.0,0.0,0.03,-1.0,-1.0,e,0.38,для всех
1336,nba 2k10,wii,2009,sports,0.34,0.0,0.0,0.03,-1.0,8.6,e,0.37,для всех
1337,disney sing it,ps3,2008,misc,0.28,0.06,0.0,0.04,54.0,3.5,e,0.38,для всех
1338,tiger woods pga tour 09,ps2,2008,sports,0.16,0.0,0.0,0.21,-1.0,4.3,e,0.37,для всех
1339,nba inside drive 2002,xb,2002,sports,0.28,0.08,0.0,0.01,76.0,-1.0,e,0.37000000000000005,для всех
1340,major league baseball 2k6,x360,2006,sports,0.34,0.0,0.0,0.03,66.0,3.9,e,0.37,для всех
1341,imagine: party babyz,wii,2008,simulation,0.33,0.02,0.0,0.03,-1.0,6.1,e,0.38,для всех
1342,nba 2k7,ps3,2006,sports,0.3,0.04,0.0,0.03,80.0,7.4,e,0.37,для всех
1343,petz: catz 2,ps2,2006,simulation,0.18,0.14,0.0,0.05,-1.0,-1.0,e,0.37,для всех
1344,"monsters, inc. scream arena",gc,2002,platform,0.29,0.07,0.0,0.01,39.0,4.7,e,0.37,для всех
1345,reel fishing iii,ps2,2003,sports,0.18,0.14,0.0,0.05,-1.0,7.8,e,0.37,для всех
1346,monster jam: path of destruction,ds,2010,racing,0.34,0.0,0.0,0.03,-1.0,-1.0,e,0.37,для всех
1347,high heat major league baseball 2003,ps2,2002,sports,0.18,0.14,0.0,0.05,84.0,7.9,e,0.37,для всех
1348,trivial pursuit,x360,2009,misc,0.12,0.21,0.0,0.04,66.0,6.4,e,0.36999999999999994,для всех
1349,rec room games,wii,2009,sports,0.35,0.0,0.0,0.03,-1.0,-1.0,e,0.38,для всех
1350,tiger woods pga tour 14,ps3,2013,sports,0.16,0.14,0.0,0.07,74.0,3.8,e,0.37000000000000005,для всех
1351,pac-man world 2,gc,2002,action,0.28,0.07,0.0,0.01,74.0,8.3,e,0.36000000000000004,для всех
1352,rocket league,ps4,2016,sports,0.03,0.28,0.0,0.05,85.0,8.7,e,0.36000000000000004,для всех
1353,the bigs,wii,2007,sports,0.34,0.0,0.0,0.03,66.0,7.1,e,0.37,для всех
1354,the legend of spyro: a new beginning,ds,2006,platform,0.33,0.01,0.0,0.03,68.0,6.8,e,0.37,для всех
1355,imagine: salon stylist,ds,2009,simulation,0.23,0.1,0.0,0.03,-1.0,-1.0,e,0.36,для всех
1356,dirt rally,ps4,2016,racing,0.04,0.27,0.0,0.05,85.0,8.1,e,0.36,для всех
1357,nfl street 2 unleashed,psp,2005,sports,0.34,0.0,0.0,0.03,73.0,7.4,e,0.37,для всех
1358,fifa street 2,ps2,2006,sports,0.17,0.13,0.02,0.04,59.0,7.7,e,0.36000000000000004,для всех
1359,virtua tennis 2009,wii,2009,sports,0.12,0.21,0.0,0.04,73.0,7.7,e,0.36999999999999994,для всех
1360,the legend of spyro: the eternal night,ds,2007,platform,0.32,0.02,0.0,0.03,56.0,2.7,e,0.37,для всех
1361,ncaa football 07,psp,2006,sports,0.34,0.0,0.0,0.03,75.0,7.9,e,0.37,для всех
1362,nba live 2003,xb,2077,sports,0.31,0.04,0.0,0.01,82.0,8.8,e,0.36,для всех
1363,espn x games skateboarding,ps2,2001,sports,0.18,0.14,0.0,0.05,58.0,7.8,e,0.37,для всех
1364,build-a-bear workshop: a friend fur all seasons,wii,2008,simulation,0.33,0.0,0.0,0.03,-1.0,-1.0,e,0.36,для всех
1365,dreamworks madagascar kartz,ds,2009,racing,0.25,0.08,0.0,0.03,-1.0,-1.0,e,0.36,для всех
1366,high heat major league baseball 2004,ps2,2003,sports,0.18,0.14,0.0,0.05,83.0,8.1,e,0.37,для всех
1367,robots,ps2,2005,action,0.18,0.14,0.0,0.05,53.0,6.0,e,0.37,для всех
1368,monster rancher 3,ps2,2001,simulation,0.11,0.09,0.14,0.03,77.0,8.5,e,0.37,для всех
1369,hamtaro: ham-ham heartbreak,gba,2002,action,0.26,0.1,0.0,0.01,72.0,9.3,e,0.37,для всех
1370,nfl gameday 2001,ps2,2000,sports,0.18,0.14,0.0,0.05,51.0,-1.0,e,0.37,для всех
1371,nba 2k6,xb,2005,action,0.27,0.08,0.0,0.01,84.0,8.7,e,0.36000000000000004,для всех
1372,shaun palmer's pro snowboarder,gba,2001,sports,0.26,0.1,0.0,0.01,58.0,-1.0,e,0.37,для всех
1373,zhuzhu pets: featuring the wild bunch,wii,2010,simulation,0.3,0.03,0.0,0.03,-1.0,-1.0,e,0.36,для всех
1374,espn nfl football,xb,2003,sports,0.27,0.08,0.0,0.01,91.0,8.9,e,0.36000000000000004,для всех
1375,rapala pro fishing,ps2,2004,sports,0.18,0.14,0.0,0.05,59.0,8.7,e,0.37,для всех
1376,tiger woods pga tour 09,psp,2008,sports,0.07,0.18,0.0,0.1,53.0,5.5,e,0.35,для всех
1377,harry potter and the chamber of secrets,xb,2002,action,0.27,0.08,0.0,0.01,77.0,7.2,e,0.36000000000000004,для всех
1378,espn: sports connection,wiiu,2012,sports,0.2,0.12,0.0,0.03,31.0,2.7,e,0.35,для всех
1379,digging for dinosaurs,ds,2010,action,0.33,0.0,0.0,0.02,-1.0,-1.0,e,0.35000000000000003,для всех
1380,press your luck 2010 edition,wii,2009,misc,0.33,0.0,0.0,0.03,-1.0,-1.0,e,0.36,для всех
1381,tiger woods pga tour 14,x360,2013,sports,0.21,0.12,0.0,0.03,77.0,6.2,e,0.36,для всех
1382,locoroco 2,psp,2008,platform,0.21,0.09,0.01,0.04,85.0,8.4,e,0.35,для всех
1383,football manager handheld 2010,psp,2009,sports,0.0,0.26,0.0,0.09,69.0,6.9,e,0.35,для всех
1384,disney's tarzan: return to the jungle,gba,2002,action,0.25,0.09,0.0,0.01,68.0,-1.0,e,0.35,для всех
1385,amf bowling world lanes,wii,2008,sports,0.33,0.0,0.0,0.03,-1.0,1.1,e,0.36,для всех
1386,star wars: flight of the falcon,gba,2003,action,0.25,0.09,0.0,0.01,39.0,5.8,e,0.35,для всех
1387,football manager 2016,pc,2015,simulation,0.0,0.33,0.0,0.02,81.0,6.9,e,0.35000000000000003,для всех
1388,the adventures of jimmy neutron boy genius: jet fusion,gba,2003,action,0.25,0.09,0.0,0.01,-1.0,-1.0,e,0.35,для всех
1389,fifa soccer 13,psp,2012,action,0.05,0.18,0.02,0.09,-1.0,3.2,e,0.33999999999999997,для всех
1390,xbox music mixer,xb,2003,misc,0.26,0.08,0.0,0.01,49.0,-1.0,e,0.35000000000000003,для всех
1391,college hoops 2k8,ps2,2007,sports,0.17,0.13,0.0,0.04,66.0,-1.0,e,0.34,для всех
1392,motogp 08,x360,2008,racing,0.11,0.2,0.0,0.04,68.0,5.6,e,0.35,для всех
1393,nfl street,gc,2004,sports,0.27,0.07,0.0,0.01,81.0,8.0,e,0.35000000000000003,для всех
1394,karaoke revolution,ps2,2003,misc,0.17,0.13,0.0,0.04,83.0,9.1,e,0.34,для всех
1395,rugrats: royal ransom,ps2,2002,platform,0.17,0.13,0.0,0.04,-1.0,-1.0,e,0.34,для всех
1396,mlb 06: the show,psp,2006,sports,0.32,0.0,0.0,0.03,83.0,8.5,e,0.35,для всех
1397,charlie and the chocolate factory,ps2,2005,adventure,0.17,0.13,0.0,0.04,35.0,4.1,e,0.34,для всех
1398,trackmania turbo,ps4,2016,action,0.03,0.26,0.0,0.05,81.0,7.9,e,0.34,для всех
1399,tiger woods pga tour 12: the masters,wii,2011,sports,0.2,0.11,0.0,0.03,85.0,6.7,e,0.33999999999999997,для всех
1400,the wild thornberrys movie,gba,2002,platform,0.25,0.09,0.0,0.01,-1.0,-1.0,e,0.35,для всех
1401,hannah montana: the movie,wii,2009,adventure,0.13,0.18,0.0,0.04,-1.0,-1.0,e,0.35,для всех
1402,wipeout 3,ps,1999,racing,0.19,0.13,0.0,0.02,89.0,8.5,e,0.34,для всех
1403,spongebob's boating bash,wii,2010,misc,0.24,0.07,0.0,0.03,-1.0,7.6,e,0.33999999999999997,для всех
1404,classic nes series: ice climber,gba,2004,platform,0.1,0.04,0.2,0.01,66.0,-1.0,e,0.35000000000000003,для всех
1405,monster rancher 4,ps2,2003,simulation,0.08,0.06,0.19,0.02,77.0,9.1,e,0.35000000000000003,для всех
1406,super bust-a-move,ps2,2000,puzzle,0.17,0.13,0.0,0.04,75.0,-1.0,e,0.34,для всех
1407,racquet sports,ps3,2010,sports,0.11,0.17,0.0,0.06,45.0,4.3,e,0.34,для всех
1408,dancedancerevolution,wii,2010,simulation,0.28,0.04,0.0,0.02,-1.0,-1.0,e,0.34,для всех
1409,nba 2k12,wii,2011,sports,0.29,0.03,0.0,0.02,-1.0,6.8,e,0.33999999999999997,для всех
1410,spongebob squarepants: the yellow avenger,ds,2005,action,0.31,0.0,0.0,0.02,67.0,7.6,e,0.33,для всех
1411,monopoly,ps3,2008,misc,0.25,0.05,0.0,0.04,54.0,6.7,e,0.33999999999999997,для всех
1412,simcity creator,ds,2008,simulation,0.29,0.02,0.0,0.03,69.0,7.3,e,0.33999999999999997,для всех
1413,mvp 06 ncaa baseball,xb,2006,sports,0.25,0.07,0.0,0.01,75.0,8.6,e,0.33,для всех
1414,smart girl's party game,ds,2008,misc,0.31,0.0,0.0,0.02,-1.0,-1.0,e,0.33,для всех
1415,herbie: fully loaded,gba,2005,racing,0.24,0.09,0.0,0.01,47.0,6.8,e,0.33999999999999997,для всех
1416,teenage mutant ninja turtles,gc,2003,action,0.26,0.07,0.0,0.01,57.0,8.0,e,0.34,для всех
1417,my baby boy,ds,2008,simulation,0.3,0.01,0.0,0.03,-1.0,-1.0,e,0.33999999999999997,для всех
1418,imagine: movie star,ds,2008,simulation,0.31,0.0,0.0,0.03,-1.0,-1.0,e,0.33999999999999997,для всех
1419,mxrider,ps2,2001,racing,0.16,0.13,0.0,0.04,69.0,6.8,e,0.33,для всех
1420,angry birds star wars,3ds,2013,strategy,0.15,0.15,0.0,0.03,-1.0,3.0,e,0.32999999999999996,для всех
1421,banjo-kazooie: grunty's revenge,gba,2003,platform,0.24,0.09,0.0,0.01,72.0,8.1,e,0.33999999999999997,для всех
1422,bejeweled 3,ds,2077,puzzle,0.29,0.02,0.0,0.02,75.0,-1.0,e,0.33,для всех
1423,ncaa basketball 10,ps3,2009,sports,0.31,0.0,0.0,0.03,75.0,7.8,e,0.33999999999999997,для всех
1424,night at the museum: battle of the smithsonian,ds,2009,action,0.12,0.18,0.0,0.04,-1.0,-1.0,e,0.33999999999999997,для всех
1425,avatar: the last airbender,ds,2006,adventure,0.3,0.01,0.0,0.03,64.0,6.4,e,0.33999999999999997,для всех
1426,klonoa 2: lunatea's veil,ps2,2001,platform,0.12,0.1,0.08,0.03,91.0,9.1,e,0.32999999999999996,для всех
1427,disney's treasure planet,ps2,2002,action,0.16,0.13,0.0,0.04,-1.0,-1.0,e,0.33,для всех
1428,nascar thunder 2002,xb,2001,racing,0.25,0.07,0.0,0.01,82.0,-1.0,e,0.33,для всех
1429,tak 2: the staff of dreams,gc,2004,platform,0.26,0.07,0.0,0.01,75.0,8.6,e,0.34,для всех
1430,bookworm,ds,2009,puzzle,0.3,0.01,0.0,0.02,80.0,-1.0,e,0.33,для всех
1431,bee movie game,wii,2007,action,0.3,0.01,0.0,0.03,62.0,7.6,e,0.33999999999999997,для всех
1432,kelly slater's pro surfer,ps2,2002,sports,0.16,0.13,0.0,0.04,77.0,8.4,e,0.33,для всех
1433,virtua tennis 2009,x360,2009,sports,0.12,0.18,0.0,0.03,70.0,6.2,e,0.32999999999999996,для всех
1434,mlb 09: the show,ps2,2009,sports,0.16,0.13,0.0,0.04,79.0,7.5,e,0.33,для всех
1435,cool boarders 2001,ps2,2001,sports,0.16,0.13,0.0,0.04,78.0,-1.0,e,0.33,для всех
1436,classic nes series: castlevania,gba,2004,platform,0.17,0.06,0.09,0.01,74.0,8.6,e,0.33,для всех
1437,gt advance championship racing,gba,2001,racing,0.24,0.09,0.0,0.01,82.0,-1.0,e,0.33999999999999997,для всех
1438,planet puzzle league,ds,2007,puzzle,0.14,0.01,0.16,0.01,86.0,8.2,e,0.32000000000000006,для всех
1439,spongebob squarepants: creature from the krusty krab,gc,2006,platform,0.25,0.07,0.0,0.01,74.0,7.7,e,0.33,для всех
1440,mlb 08: the show,psp,2008,sports,0.3,0.0,0.0,0.02,83.0,8.4,e,0.32,для всех
1441,spy kids 3-d: game over,gba,2003,platform,0.24,0.09,0.0,0.01,62.0,7.7,e,0.33999999999999997,для всех
1442,ncaa gamebreaker 2001,ps,2000,sports,0.18,0.12,0.0,0.02,69.0,-1.0,e,0.32,для всех
1443,power rangers: ninja storm,gba,2003,misc,0.24,0.09,0.0,0.01,55.0,7.8,e,0.33999999999999997,для всех
1444,mvp baseball 2005,gc,2005,sports,0.25,0.07,0.0,0.01,88.0,8.7,e,0.33,для всех
1445,ssx blur,wii,2007,sports,0.29,0.01,0.0,0.03,74.0,8.1,e,0.32999999999999996,для всех
1446,mx vs. atv untamed,wii,2008,racing,0.28,0.02,0.0,0.02,70.0,8.3,e,0.32000000000000006,для всех
1447,nba live 06,gc,2005,sports,0.25,0.07,0.0,0.01,76.0,-1.0,e,0.33,для всех
1448,dr. mario / puzzle league,gba,2005,puzzle,0.12,0.04,0.16,0.01,74.0,-1.0,e,0.33,для всех
1449,nba 2k10,psp,2009,sports,0.3,0.0,0.0,0.03,-1.0,8.1,e,0.32999999999999996,для всех
1450,major league baseball 2k6,xb,2006,sports,0.24,0.07,0.0,0.01,71.0,5.7,e,0.32,для всех
1451,ea playground,ds,2007,sports,0.29,0.01,0.0,0.03,60.0,7.6,e,0.32999999999999996,для всех
1452,discovery kids: puppy playtime,ds,2009,simulation,0.3,0.0,0.0,0.02,-1.0,-1.0,e,0.32,для всех
1453,teenage mutant ninja turtles 2: battle nexus,gba,2004,action,0.23,0.09,0.0,0.01,65.0,-1.0,e,0.33,для всех
1454,nicktoons: movin',ps2,2004,action,0.16,0.12,0.0,0.04,-1.0,-1.0,e,0.32,для всех
1455,mystery case files: the malgrave incident,wii,2011,adventure,0.17,0.13,0.0,0.03,65.0,8.2,e,0.33000000000000007,для всех
1456,ncaa basketball 10,x360,2009,sports,0.3,0.0,0.0,0.02,75.0,-1.0,e,0.32,для всех
1457,elebits,wii,2006,action,0.22,0.01,0.08,0.02,75.0,7.4,e,0.33,для всех
1458,style lab: jewelry design,ds,2009,simulation,0.3,0.0,0.0,0.02,-1.0,-1.0,e,0.32,для всех
1459,bratz: girlz really rock,ds,2008,action,0.18,0.11,0.0,0.03,-1.0,-1.0,e,0.31999999999999995,для всех
1460,minute to win it,x360,2011,misc,0.3,0.0,0.0,0.02,-1.0,-1.0,e,0.32,для всех
1461,nba street v3,xb,2005,sports,0.28,0.03,0.0,0.01,89.0,8.9,e,0.32000000000000006,для всех
1462,harvest moon: back to nature,ps,1999,simulation,0.11,0.07,0.12,0.02,82.0,9.3,e,0.32,для всех
1463,madden nfl 09,ds,2008,sports,0.3,0.0,0.0,0.02,-1.0,7.8,e,0.32,для всех
1464,beautiful katamari,x360,2007,puzzle,0.14,0.02,0.15,0.02,73.0,7.0,e,0.33,для всех
1465,pony friends 2,ds,2009,simulation,0.21,0.09,0.0,0.03,-1.0,-1.0,e,0.32999999999999996,для всех
1466,my baby: first steps,ds,2009,simulation,0.27,0.03,0.0,0.02,-1.0,-1.0,e,0.32000000000000006,для всех
1467,sky odyssey,ps2,2000,simulation,0.16,0.12,0.0,0.04,79.0,8.4,e,0.32,для всех
1468,fifa street 3,ps3,2008,sports,0.08,0.18,0.0,0.06,63.0,6.9,e,0.32,для всех
1469,fortress,gba,2001,action,0.23,0.08,0.0,0.01,64.0,-1.0,e,0.32,для всех
1470,disney fairies: tinker bell and the great fairy rescue,ds,2010,adventure,0.17,0.12,0.0,0.03,-1.0,-1.0,e,0.32000000000000006,для всех
1471,fifa 2001 major league soccer,ps,2000,sports,0.18,0.12,0.0,0.02,85.0,7.8,e,0.32,для всех
1472,frogger's adventures: the rescue,ps2,2003,platform,0.16,0.12,0.0,0.04,59.0,8.5,e,0.32,для всех
1473,karaoke revolution volume 3,ps2,2004,misc,0.16,0.12,0.0,0.04,82.0,7.8,e,0.32,для всех
1474,disney's extreme skate adventure,ps2,2003,sports,0.16,0.12,0.0,0.04,78.0,8.3,e,0.32,для всех
1475,nba 2k3,xb,2002,sports,0.24,0.07,0.0,0.01,87.0,7.9,e,0.32,для всех
1476,sega smash pack,gba,2002,misc,0.23,0.08,0.0,0.01,60.0,-1.0,e,0.32,для всех
1477,all-star baseball 2005,ps2,2077,sports,0.16,0.12,0.0,0.04,72.0,8.6,e,0.32,для всех
1478,nfl fever 2004,xb,2003,sports,0.24,0.07,0.0,0.01,74.0,8.8,e,0.32,для всех
1479,madden nfl 2002,gba,2001,sports,0.23,0.08,0.0,0.01,-1.0,-1.0,e,0.32,для всех
1480,bigfoot: collision course,wii,2008,racing,0.3,0.0,0.0,0.02,-1.0,-1.0,e,0.32,для всех
1481,fifa street 3,x360,2008,sports,0.14,0.14,0.0,0.03,63.0,6.9,e,0.31000000000000005,для всех
1482,the biggest loser,ds,2009,sports,0.18,0.11,0.0,0.03,63.0,-1.0,e,0.31999999999999995,для всех
1483,4x4 evolution,ps2,2001,racing,0.16,0.12,0.0,0.04,64.0,-1.0,e,0.32,для всех
1484,romance of the three kingdoms vii,ps2,2000,strategy,0.08,0.06,0.16,0.02,72.0,8.7,e,0.32000000000000006,для всех
1485,littlest pet shop: city friends,ds,2009,simulation,0.29,0.0,0.0,0.02,-1.0,-1.0,e,0.31,для всех
1486,"monsters, inc.",ps2,2002,adventure,0.15,0.12,0.0,0.04,52.0,7.2,e,0.31,для всех
1487,rugby world cup 2011,ps3,2011,sports,0.0,0.24,0.0,0.07,50.0,5.6,e,0.31,для всех
1488,f1 race stars,ps3,2012,racing,0.06,0.19,0.0,0.06,61.0,5.6,e,0.31,для всех
1489,mlb 07: the show,ps3,2007,sports,0.29,0.0,0.0,0.02,77.0,7.5,e,0.31,для всех
1490,crash nitro kart,xb,2003,racing,0.24,0.07,0.0,0.01,70.0,8.9,e,0.32,для всех
1491,fishing master,wii,2007,misc,0.29,0.0,0.0,0.02,58.0,8.1,e,0.31,для всех
1492,madden nfl 2004,gba,2003,sports,0.22,0.08,0.0,0.01,70.0,6.6,e,0.31,для всех
1493,birthday party bash,wii,2009,misc,0.29,0.0,0.0,0.02,-1.0,3.0,e,0.31,для всех
1494,nba inside drive 2003,xb,2002,sports,0.23,0.07,0.0,0.01,72.0,7.8,e,0.31000000000000005,для всех
1495,fifa street,ps2,2005,sports,0.15,0.12,0.0,0.04,59.0,7.9,e,0.31,для всех
1496,1001 touch games,ds,2011,action,0.11,0.16,0.0,0.04,-1.0,-1.0,e,0.31,для всех
1497,bust-a-move universe,3ds,2011,puzzle,0.08,0.15,0.06,0.03,49.0,4.8,e,0.31999999999999995,для всех
1498,fuel,x360,2009,racing,0.09,0.18,0.0,0.04,66.0,7.0,e,0.31,для всех
1499,7 wonders ii,ds,2009,puzzle,0.13,0.15,0.0,0.03,60.0,-1.0,e,0.31000000000000005,для всех
1500,happy feet,ds,2006,action,0.27,0.01,0.0,0.02,-1.0,0.3,e,0.30000000000000004,для всех
